seed,feature_set,seed_validation_winner,feature_count,feature_limit,selected_calibration_method,selected_candidate_name,validation_pr_auc,validation_roc_auc,validation_brier_score,validation_top_decile_lift,validation_precision_at_top_decile,validation_recall_at_review_capacity,validation_weighted_calibration_error,test_pr_auc,test_roc_auc,test_brier_score,test_top_decile_lift,test_precision_at_top_decile,test_recall_at_review_capacity,test_weighted_calibration_error,validation_balanced_ev_per_applicant,test_balanced_ev_per_applicant,created_at
17,top_152,True,152,152,sigmoid,feature_subsample_regularized,0.2718435784952352,0.7842312712051235,0.0663102077209983,3.6383240587300216,0.2937350964665077,0.3638560687432868,0.0017746437239656552,0.26332620261955464,0.7777650819803729,0.06671310855464697,3.6061027386527083,0.29113375243876005,0.3606337271750806,0.0033191448406166904,583.3535673249941,577.3852624276454,2026-04-30T18:05:18Z
17,full,False,168,full,sigmoid,regularized_low_learning_rate,0.2712564692918185,0.7840605080508131,0.06633265249086508,3.6410091687364643,0.29395187513548665,0.364124597207304,0.002196887356358308,0.26360650018462267,0.7774525090981013,0.06670614700586971,3.589992078614051,0.2898330804248862,0.35902255639097747,0.003811575109322582,584.7843995924296,578.1234418019815,2026-04-30T18:05:18Z
29,top_152,True,152,152,sigmoid,rank_focused_class_weighted,0.27675937248206467,0.78210448625362,0.06626362772041625,3.6436942787429074,0.29416865380446566,0.36439312567132115,0.003549942991985118,0.2631033702460163,0.7747215778487595,0.06670455984553114,3.6222133986913647,0.29243442445263385,0.3622448979591837,0.003897612296021921,581.0122054328268,581.0273809265723,2026-04-30T18:05:18Z
29,full,False,168,full,sigmoid,feature_subsample_regularized,0.2761735181999036,0.7827748036695518,0.06626523992527823,3.659804938781564,0.29546932581833946,0.36600429645542426,0.0025010231924519335,0.2658808343813308,0.7751864475268037,0.06662933094521807,3.6383240587300216,0.2937350964665077,0.3638560687432868,0.003586230796451131,582.1828863789104,578.3510742081644,2026-04-30T18:05:18Z
43,top_152,False,152,152,sigmoid,baseline_current,0.2659801077905911,0.773076811717591,0.06678036762974993,3.5792516385882798,0.2889659657489703,0.3579484425349087,0.0034559360187452147,0.2640950661308641,0.7750853258487754,0.06678327359055218,3.5765665285818367,0.2887491870799913,0.3576799140708915,0.003278841471417632,574.1181954170008,578.0670756823553,2026-04-30T18:05:18Z
43,full,True,168,full,sigmoid,feature_subsample_regularized,0.26820667351019,0.7747585548952277,0.06665846208940447,3.6544347187686785,0.29503576848038154,0.3654672395273899,0.004046359959541737,0.26421145592170936,0.7764986672178035,0.0666967473490516,3.6034176286462647,0.29091697376978104,0.3603651987110634,0.003576045321389993,575.4189520237605,577.2638584776812,2026-04-30T18:05:18Z
