feature_set,selected,feature_count,feature_limit,selected_calibration_method,selected_candidate_name,validation_pr_auc,validation_roc_auc,validation_brier_score,validation_top_decile_lift,validation_precision_at_top_decile,validation_recall_at_review_capacity,validation_weighted_calibration_error,test_pr_auc,test_roc_auc,test_brier_score,test_top_decile_lift,test_precision_at_top_decile,test_recall_at_review_capacity,test_weighted_calibration_error,validation_balanced_ev_per_applicant,test_balanced_ev_per_applicant,created_at
top_40,False,40,40,sigmoid,feature_subsample_regularized,0.26480400743115773,0.7744387626546801,0.06684909110031229,3.5524005385238517,0.2867981790591806,0.35526315789473684,0.0024982668688330735,0.26248338569378366,0.7739282273691546,0.0669066391101868,3.514808998433652,0.283763277693475,0.35150375939849626,0.0018039322476588024,575.1588007024086,576.9213259045679,2026-04-30T04:43:33Z
top_60,False,60,60,sigmoid,feature_subsample_regularized,0.27017497023793496,0.777509599023416,0.06660527148074291,3.6410091687364643,0.29395187513548665,0.364124597207304,0.0037230729555887384,0.26618790614641885,0.7783137468765828,0.0666307166743748,3.573881418575394,0.28853240841101235,0.35741138560687435,0.0026619043496696874,577.1099356125479,582.8798751273657,2026-04-30T04:43:33Z
top_80,False,80,80,sigmoid,feature_subsample_regularized,0.27167125111415585,0.7783394199278555,0.06653683955448726,3.6544347187686785,0.29503576848038154,0.3654672395273899,0.002864530578725469,0.26730283887784223,0.7794376363081337,0.06656876420186629,3.6275836187042505,0.2928679817905918,0.36278195488721804,0.0025935309333368663,576.979859951872,581.9411624428209,2026-04-30T04:43:33Z
top_100,True,100,100,sigmoid,feature_subsample_regularized,0.272360887638804,0.7787293665990893,0.06650654983914778,3.657119828775121,0.2952525471493605,0.3657357679914071,0.0035543545345725312,0.26808275176147595,0.779362953946599,0.06655154682821429,3.5926771886204936,0.29004985909386516,0.3592910848549946,0.0025369161732168013,576.3294816484922,580.9840223730137,2026-04-30T04:43:33Z
full,False,140,full,sigmoid,regularized_low_learning_rate,0.271065586296678,0.7781967299448063,0.06653527203370997,3.6410091687364643,0.29395187513548665,0.364124597207304,0.0027038559720356493,0.2684574042395933,0.7788051951920695,0.06655026385585039,3.5926771886204936,0.29004985909386516,0.3592910848549946,0.0028230827938605435,576.0693303271403,584.1437769636005,2026-04-30T04:43:33Z
