feature_set,selected,feature_count,feature_limit,seed_count,validation_win_count,validation_win_rate,validation_pr_auc_mean,validation_pr_auc_std,validation_roc_auc_mean,validation_roc_auc_std,validation_brier_score_mean,validation_brier_score_std,validation_top_decile_lift_mean,validation_top_decile_lift_std,validation_precision_at_top_decile_mean,validation_precision_at_top_decile_std,validation_recall_at_review_capacity_mean,validation_recall_at_review_capacity_std,validation_weighted_calibration_error_mean,validation_weighted_calibration_error_std,validation_balanced_ev_per_applicant_mean,validation_balanced_ev_per_applicant_std,test_pr_auc_mean,test_pr_auc_std,test_roc_auc_mean,test_roc_auc_std,test_brier_score_mean,test_brier_score_std,test_top_decile_lift_mean,test_top_decile_lift_std,test_precision_at_top_decile_mean,test_precision_at_top_decile_std,test_recall_at_review_capacity_mean,test_recall_at_review_capacity_std,test_weighted_calibration_error_mean,test_weighted_calibration_error_std,test_balanced_ev_per_applicant_mean,test_balanced_ev_per_applicant_std,pr_auc_generalization_gap,abs_pr_auc_generalization_gap,balanced_ev_generalization_gap,abs_balanced_ev_generalization_gap,created_at
top_40,False,40,40,3,0,0.0,0.2634596830295411,0.0032939674625386004,0.7740267716096229,0.004800221784158593,0.06685037442594098,0.00021719104435519702,3.586411931938794,0.027586882872046987,0.2895440421995809,0.002227189104331581,0.3586645184389545,0.002758867706305506,0.0031651757186256326,0.0013534208429914836,573.8146855420903,3.6084112596203104,0.25798473361183394,0.0012376084009724994,0.7709799892138566,0.001088049273296331,0.06704520061338999,9.32860480352979e-05,3.5246544017906096,0.04103525949928365,0.28455813281306447,0.0033129253230284516,0.35248836376655923,0.004103792834352907,0.0035038862947459996,0.0005773902522518376,574.1760068217458,0.1313709715135911,-0.005474949417707153,0.005474949417707153,0.361321279655499,0.361321279655499,2026-04-30T05:26:14Z
top_60,False,60,60,3,0,0.0,0.2678474719109111,0.0032715281705539964,0.7775899639909385,0.004829734317506635,0.06664866454979557,0.00024331757921148103,3.590887115282865,0.043092088602135994,0.2899053399812125,0.0034789805960576924,0.3591120658789832,0.004309489121808349,0.003351338860132367,0.0009198009624976582,576.4595573091682,4.040030803753523,0.2600907320023348,0.002384468469381375,0.7735377213032008,0.0015772030885794065,0.06690631888472026,9.943418953421882e-05,3.5819367485947224,0.026671492028150088,0.2891827444179492,0.0021532862816318224,0.35821697099892585,0.002667322668412347,0.0033130903126030666,0.00040884318989670366,575.8156827888221,0.25406873010821657,-0.007756739908576282,0.007756739908576282,-0.6438745203461167,0.6438745203461167,2026-04-30T05:26:14Z
top_80,False,80,80,3,1,0.3333333333333333,0.26759846086498734,0.0039668803749390346,0.7765985497837531,0.00400247280570319,0.06665691155751774,0.00019792055059836744,3.6034176286462647,0.01873172975655736,0.29091697376978104,0.001512280478102178,0.3603651987110634,0.001873294802761904,0.004126088028390267,0.0008877835131895004,576.4161987556096,3.9969908041681514,0.26029874313732243,0.0010737472303538182,0.7743131036022074,0.0014149439193191548,0.0668935679154344,2.380547120719012e-05,3.558665795205551,0.012657729958583948,0.28730399595346484,0.0010219044456775046,0.35588972431077687,0.0012658553189877643,0.0032223664597584665,0.00038193516830300193,576.0462057652423,1.442595922064847,-0.007299717727664912,0.007299717727664912,-0.3699929903672228,0.3699929903672228,2026-04-30T05:26:14Z
top_100,False,100,100,3,1,0.3333333333333333,0.2676348355856884,0.003086218611421466,0.7775763886420868,0.004030198815571325,0.06660990070635764,0.00018429216158523677,3.6275836187042505,0.019112753102734956,0.29286798179059176,0.0015430418747064438,0.362781954887218,0.0019113996154728626,0.0033070829894676335,0.0009042709716608186,577.8470310230451,4.196606285277698,0.2617623015580186,0.0008500755969386952,0.774805592602966,0.001469431902537605,0.06682842459305414,2.264328223526018e-05,3.588202005276422,0.04526797823340089,0.28968856131223353,0.0036546480573456694,0.35884353741496594,0.004527092236448919,0.003314617200990367,0.0008675054757088786,576.8548427891112,0.5298534796904749,-0.005872534027669796,0.005872534027669796,-0.9921882339339163,0.9921882339339163,2026-04-30T05:26:14Z
full,True,140,full,3,1,0.3333333333333333,0.2688476891825921,0.0031683652381918367,0.7778415712924001,0.004216812994467962,0.0665729483104137,0.0001978353364420369,3.619528288684922,0.012206672714754082,0.29221764578365483,0.000985488958522009,0.3619763694951665,0.0012207466610262944,0.0029781379516471665,0.0009112336897320266,578.1505408979557,3.2700514032934667,0.2608159493355436,0.00201396714975475,0.7748321754622557,0.0009186499565035824,0.06685541610899189,6.254604488403303e-05,3.575671491913022,0.017855925462764825,0.288676927523665,0.001441573621161941,0.3575904045828857,0.0017857086773415516,0.0032606192717507337,0.00030516077688498984,575.6324929000368,2.7613413761995367,-0.008031739847048525,0.008031739847048525,-2.5180479979188704,2.5180479979188704,2026-04-30T05:26:14Z
