feature_set,selected,feature_count,feature_limit,selected_calibration_method,selected_candidate_name,validation_pr_auc,validation_roc_auc,validation_brier_score,validation_top_decile_lift,validation_precision_at_top_decile,validation_recall_at_review_capacity,validation_weighted_calibration_error,test_pr_auc,test_roc_auc,test_brier_score,test_top_decile_lift,test_precision_at_top_decile,test_recall_at_review_capacity,test_weighted_calibration_error,validation_balanced_ev_per_applicant,test_balanced_ev_per_applicant,created_at
top_100,False,100,100,sigmoid,rank_focused_class_weighted,0.27252008982904846,0.778826675949326,0.06651043327841902,3.6490644987557928,0.2946022111424236,0.36493018259935556,0.0033236815342338913,0.2663616936024135,0.7791038866415857,0.06659402611677218,3.619528288684922,0.2922176457836549,0.3619763694951665,0.0032024175691631827,577.1099356125479,581.1260216359183,2026-04-30T17:59:06Z
top_120,False,120,120,sigmoid,feature_subsample_regularized,0.27180102399089895,0.7791821596839473,0.06647025375833722,3.619528288684922,0.2922176457836549,0.3619763694951665,0.0023584546057991524,0.2684768601523002,0.7804264160828253,0.06647771999780946,3.659804938781564,0.29546932581833946,0.36600429645542426,0.0029692806540635125,577.6302382552518,582.4582131940078,2026-04-30T17:59:06Z
top_140,False,140,140,sigmoid,feature_subsample_regularized,0.272406829336543,0.7791759345706267,0.0664523177493443,3.659804938781564,0.29546932581833946,0.36600429645542426,0.003962838804446392,0.27030442380144937,0.7808799691001334,0.06643998761445226,3.619528288684922,0.2922176457836549,0.3619763694951665,0.0024253437573535817,577.3700869338999,583.4652156004075,2026-04-30T17:59:06Z
top_152,False,152,152,sigmoid,regularized_low_learning_rate,0.2729378808809231,0.7798496653498135,0.06639204623294953,3.6866560388459924,0.2976371125081292,0.36868958109559613,0.0035360814962594584,0.2721928986360501,0.7811824665446705,0.06636910432985749,3.6732304888137786,0.29655321916323435,0.3673469387755102,0.002647435932593369,579.3212218440393,582.0885815249203,2026-04-30T17:59:06Z
full,True,168,full,sigmoid,feature_subsample_regularized,0.2749335718046247,0.7792514781889381,0.06637998320533907,3.6973964788717635,0.29850422718404507,0.3697636949516649,0.003935609533526568,0.2712704172642323,0.7809139064168013,0.06640300292403728,3.6275836187042505,0.2928679817905918,0.36278195488721804,0.0021810695897736937,576.4595573091682,583.1031716781928,2026-04-30T17:59:06Z
