model_version,base_model_version,calibration_method,split,bin_id,applicant_count,average_predicted_score,observed_default_rate,calibration_error,created_at
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,validation,10,4613,0.2868381372727895,0.29395187513548665,0.007113737862697145,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,1,4612,0.008201226649993938,0.010190806591500434,0.001989579941506496,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,2,4613,0.015293200342102969,0.017125514849338826,0.0018323145072358573,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,3,4613,0.022247898304888086,0.023195317580750056,0.0009474192758619701,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,4,4612,0.0304892915345937,0.03469210754553339,0.004202816010939688,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,5,4613,0.04133726199121141,0.03923693908519402,-0.0021003229060173947,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,6,4613,0.05580429841022742,0.055061781920659005,-0.0007425164895684122,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,7,4612,0.07613167174698367,0.07393755420641804,-0.0021941175405656294,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,8,4613,0.10752590129409952,0.09906785172339042,-0.0084580495707091,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,9,4613,0.15951852957697785,0.16475178842401908,0.005233258847041233,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,10,4613,0.2895194441798645,0.29004985909386516,0.000530414914000632,2026-04-30T02:18:56Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,1,4612,0.007696725346335061,0.007805724197745013,0.000108998851409952,2026-04-30T02:18:56Z
