model_version,base_model_version,calibration_method,split,roc_auc,pr_auc,brier_score,min_predicted_probability,max_predicted_probability,top_decile_lift,precision_at_top_decile,recall_at_manual_review_capacity,mean_absolute_bin_error,weighted_calibration_error,max_absolute_bin_error,created_at
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,validation,0.7778267251676176,0.27203811543794165,0.1751545572521738,0.005653884262803279,0.9567366114530879,3.6383240587300216,0.2937350964665077,0.3638560687432868,0.2917388059376529,0.2917440267986893,0.5054926185038362,2026-04-30T05:49:00Z
lightgbm_credit_risk_v1_uncalibrated,lightgbm_credit_risk_v1,uncalibrated,test,0.7779716822824763,0.26611856575841925,0.1743733097522729,0.003841439255620399,0.9506990325001113,3.5953622986269362,0.2902666377628441,0.3595596133190118,0.29009602897114617,0.2901011724201146,0.5040999696770245,2026-04-30T05:49:00Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,validation,0.7778267251676176,0.27203811543794165,0.06654203008419096,0.000633790874072937,0.6788751727911942,3.6383240587300216,0.2937350964665077,0.3638560687432868,0.003988235696369352,0.003988381423867669,0.012095868385077785,2026-04-30T05:49:00Z
lightgbm_credit_risk_v1_sigmoid,lightgbm_credit_risk_v1,sigmoid,test,0.7779716822824763,0.26611856575841925,0.06663227056235997,0.0004330473406996593,0.648897118531346,3.5953622986269362,0.2902666377628441,0.3595596133190118,0.0021788748279040326,0.0021788776283219037,0.0036400461193059896,2026-04-30T05:49:00Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,validation,0.7794392543309755,0.2646219243227206,0.06622063193796938,0.0,0.8888888888888888,3.6490644987557928,0.2946022111424236,0.36493018259935556,0.0007272705493540797,0.0007272585222505182,0.0014702925055318783,2026-04-30T05:49:00Z
lightgbm_credit_risk_v1_isotonic,lightgbm_credit_risk_v1,isotonic,test,0.7777124249943506,0.2552781344302995,0.0667569214857772,0.0,0.8888888888888888,3.5953622986269362,0.2902666377628441,0.3595596133190118,0.004235704895193816,0.004235825633025479,0.009505428041018643,2026-04-30T05:49:00Z
